 VALUE1  VALUE2
    288     288
    288     288
    270     270
    256     256
    256     256
    246     246
    236     236
    228     228
    228     228
    220     220
    212     212
    204     204
    196     196
    188     188
    196     196
    188     188
    172     172
    164     164
    156     156
    148     148
    140     140
    148     148
    164     164
    172     172
    156     156
    140     140
    132     132
    124     124
    116     116
    104     104
    104     104
    104     104
     90      90
     80      80
     64      64
     64      64
     56      56
     56      56
     56      56
     56      56
     56      56
     56      56
     56      56
     40      40
     40      40
     40      40
     40      40
     40      40
     40      40
     40      40
     32      32
     32      32
     32      32
     32      32
     32      32
     32      32
     32      32
     32      32
     40      40
     56      56
     56      56
     48      48
     40      40
     32      32
     32      32
     24      24
     16      16
     16      16
      8       8
      8       8
      8       8
      8       8
      8       8
      8       8
      8       8
     16      16
      8       8
      8       8
     24      24
     32      32
     32      32
     32      32
     32      32
     32      32
     32      32
     40      40
     40      40
     40      40
     40      40
     44      44
     44      44
     44      44
     32      32
     24      24
     16      16
     16      16
     24      24
     32      32
     44      44
     56      56
     56      56
     56      56
     56      56
     56      56
     64      64
     72      72
     72      72
     56      56
     48      48
     56      56
     56      56
     48      48
     48      48
     56      56
     56      56
     48      48
     56      56
     56      56
    104     104
    104     104
    104     104
    104     104
    104     104
    104     104
    104     104
    116     116
    124     124
    132     132
    132     132
    140     140
    148     148
    156     156
    164     164
    172     172
    172     172
    172     172
    172     172
    172     172
    172     172
    180     180
    180     180
    180     180
    180     180
    180     180
    172     172
    172     172
    172     172
    172     172
    164     164
    148     148
    124     124
    124     124
    124     124
    124     124
    124     124
    124     124
    104     104
    104     104
    104     104
    104     104
    104     104
    104     104
    104     104
    104     104
    104     104
     92      92
     80      80
     72      72
     64      64
     72      72
     80      80
     80      80
     80      80
     88      88
    104     104
    124     124
    124     124
    132     132
    140     140
    132     132
    124     124
    124     124
    124     124
    124     124
    124     124
    132     132
    124     124
    120     120
    128     128
    136     136
    148     148
    162     162
    156     156
    172     172
    180     180
    180     180
    172     172
    172     172
    172     172
    180     180
    180     180
    188     188
    196     196
    204     204
    212     212
    220     220
    228     228
    228     228
    236     236
    236     236
    236     236
    228     228
    228     228
    236     236
    236     236
    228     228
    228     228
    236     236
    236     236
    228     228
    228     228
    236     236
    252     252
    260     260
    260     260
    260     260
    260     260
    260     260
    260     260
    260     260
    276     276
    276     276
    276     276
    276     276
    284     284
    284     284
    284     284
    284     284
    284     284
    284     284
    284     284
    288     288
    280     280
    276     276
    276     276
    276     276
    268     268
    260     260
    252     252
    260     260
    260     260
    236     236
    228     228
    228     228
    236     236
    236     236
    228     228
    228     228
    228     228
    228     228
    220     220
    212     212
    204     204
    196     196
    188     188
    180     180
    180     180
    180     180
    180     180
    180     180
    196     196
    204     204
    212     212
    220     220
    228     228
    236     236
    246     246
    252     252
    260     260
    280     280
