 VALUE1  VALUE2
  565.0   565.0
   25.0    25.0
  345.0   345.0
  945.0   945.0
  845.0   845.0
  880.0   880.0
   25.0    25.0
  525.0   525.0
  580.0   580.0
  650.0   650.0
 1605.0  1605.0
 1220.0  1220.0
 1465.0  1465.0
 1530.0  1530.0
  845.0   845.0
  725.0   725.0
  145.0   145.0
  415.0   415.0
  510.0   510.0
  560.0   560.0
  300.0   300.0
  520.0   520.0
  480.0   480.0
  835.0   835.0
  975.0   975.0
 1215.0  1215.0
 1320.0  1320.0
 1250.0  1250.0
  660.0   660.0
  410.0   410.0
  420.0   420.0
  575.0   575.0
 1150.0  1150.0
  700.0   700.0
  685.0   685.0
  685.0   685.0
  770.0   770.0
  795.0   795.0
  720.0   720.0
  760.0   760.0
  475.0   475.0
   95.0    95.0
  875.0   875.0
  700.0   700.0
  555.0   555.0
  830.0   830.0
 1170.0  1170.0
  830.0   830.0
  605.0   605.0
  595.0   595.0
 1340.0  1340.0
 1740.0  1740.0
