 VALUE1  VALUE2
    0.0     0.0
  837.0   837.0
  862.4   862.4
  887.8   887.8
  913.2   913.2
  938.6   938.6
  964.0   964.0
  989.4   989.4
 1014.8  1014.8
 1040.2  1040.2
 1065.6  1065.6
 1091.0  1091.0
 1116.4  1116.4
 1141.8  1141.8
 1167.2  1167.2
 1167.2  1167.2
 1141.8  1141.8
 1116.4  1116.4
 1091.0  1091.0
 1065.6  1065.6
 1040.2  1040.2
 1014.8  1014.8
  989.4   989.4
  964.0   964.0
  938.6   938.6
  913.2   913.2
  887.8   887.8
  862.4   862.4
  837.0   837.0
  837.0   837.0
  862.4   862.4
  887.8   887.8
  913.2   913.2
  938.6   938.6
  964.0   964.0
  989.4   989.4
 1014.8  1014.8
 1040.2  1040.2
 1065.6  1065.6
 1091.0  1091.0
 1116.4  1116.4
 1141.8  1141.8
 1167.2  1167.2
 1167.2  1167.2
 1141.8  1141.8
 1116.4  1116.4
 1091.0  1091.0
 1065.6  1065.6
 1040.2  1040.2
 1014.8  1014.8
  989.4   989.4
  964.0   964.0
  938.6   938.6
  913.2   913.2
  887.8   887.8
  862.4   862.4
  837.0   837.0
  837.0   837.0
  862.4   862.4
  887.8   887.8
  913.2   913.2
  938.6   938.6
  964.0   964.0
  989.4   989.4
 1014.8  1014.8
 1040.2  1040.2
 1065.6  1065.6
 1091.0  1091.0
 1116.4  1116.4
 1141.8  1141.8
 1167.2  1167.2
 1167.2  1167.2
 1141.8  1141.8
 1116.4  1116.4
 1091.0  1091.0
 1065.6  1065.6
 1040.2  1040.2
 1014.8  1014.8
  989.4   989.4
  964.0   964.0
  938.6   938.6
  913.2   913.2
  887.8   887.8
  862.4   862.4
  837.0   837.0
  837.0   837.0
  862.4   862.4
  887.8   887.8
  913.2   913.2
  938.6   938.6
  964.0   964.0
  989.4   989.4
 1014.8  1014.8
 1040.2  1040.2
 1065.6  1065.6
 1091.0  1091.0
 1116.4  1116.4
 1141.8  1141.8
 1167.2  1167.2
 1167.2  1167.2
 1141.8  1141.8
 1116.4  1116.4
 1091.0  1091.0
 1065.6  1065.6
 1040.2  1040.2
 1014.8  1014.8
  989.4   989.4
  964.0   964.0
  938.6   938.6
  913.2   913.2
  887.8   887.8
  862.4   862.4
  837.0   837.0
  837.0   837.0
  862.4   862.4
  887.8   887.8
  913.2   913.2
  938.6   938.6
  964.0   964.0
  989.4   989.4
 1014.8  1014.8
 1040.2  1040.2
 1065.6  1065.6
 1091.0  1091.0
 1116.4  1116.4
 1141.8  1141.8
 1167.2  1167.2
 1167.2  1167.2
 1141.8  1141.8
 1116.4  1116.4
 1091.0  1091.0
 1065.6  1065.6
 1040.2  1040.2
 1014.8  1014.8
  989.4   989.4
  964.0   964.0
  938.6   938.6
  913.2   913.2
  887.8   887.8
  862.4   862.4
  837.0   837.0
  837.0   837.0
  862.4   862.4
  887.8   887.8
  913.2   913.2
  938.6   938.6
  964.0   964.0
  989.4   989.4
 1014.8  1014.8
 1040.2  1040.2
 1065.6  1065.6
 1091.0  1091.0
 1116.4  1116.4
 1141.8  1141.8
 1167.2  1167.2
 1167.2  1167.2
 1141.8  1141.8
 1116.4  1116.4
 1091.0  1091.0
 1065.6  1065.6
 1040.2  1040.2
 1014.8  1014.8
  989.4   989.4
  964.0   964.0
  938.6   938.6
  913.2   913.2
  887.8   887.8
  862.4   862.4
  837.0   837.0
  837.0   837.0
  862.4   862.4
  887.8   887.8
  913.2   913.2
  938.6   938.6
  964.0   964.0
  989.4   989.4
 1014.8  1014.8
 1040.2  1040.2
 1065.6  1065.6
 1091.0  1091.0
 1116.4  1116.4
 1141.8  1141.8
 1167.2  1167.2
 1167.2  1167.2
 1141.8  1141.8
 1116.4  1116.4
 1091.0  1091.0
 1065.6  1065.6
 1040.2  1040.2
 1014.8  1014.8
  989.4   989.4
  964.0   964.0
  938.6   938.6
  913.2   913.2
  887.8   887.8
  862.4   862.4
  837.0   837.0
