  VALUE1   VALUE2
2104.610 2104.610
2104.610 2104.610
 295.591  295.591
 295.591  295.591
1025.700 1025.700
1161.670 1161.670
1191.230 1191.230
1167.590 1167.590
1096.640 1096.640
1102.560 1102.560
1090.730 1090.730
1019.790 1019.790
1232.620 1232.620
1043.440 1043.440
1238.530 1238.530
1167.590 1167.590
1132.110 1132.110
1268.090 1268.090
1244.440 1244.440
1067.080 1067.080
1179.410 1179.410
1049.350 1049.350
1037.530 1037.530
1126.200 1126.200
1090.730 1090.730
 984.319  984.319
1327.200 1327.200
1031.610 1031.610
 996.143  996.143
1049.350 1049.350
1185.320 1185.320
1114.380 1114.380
1315.380 1315.380
1291.730 1291.730
1078.910 1078.910
1013.880 1013.880
1735.120 1735.120
 741.934  741.934
1729.210 1729.210
 736.022  736.022
1522.300 1522.300
 529.108  529.108
1185.320 1185.320
1569.590 1569.590
 576.403  576.403
1149.850 1149.850
 617.786  617.786
1031.610 1031.610
1108.470 1108.470
 753.758  753.758
1031.610 1031.610
 594.138  594.138
 759.670  759.670
 605.962  605.962
 753.758  753.758
 659.169  659.169
1268.090 1268.090
 594.138  594.138
 611.874  611.874
1279.910 1279.910
 659.169  659.169
1226.700 1226.700
1149.850 1149.850
1610.970 1610.970
1037.530 1037.530
1315.380 1315.380
1114.380 1114.380
1090.730 1090.730
1274.000 1274.000
1132.110 1132.110
1108.470 1108.470
1013.880 1013.880
1268.090 1268.090
1114.380 1114.380
1031.610 1031.610
1664.180 1664.180
1238.530 1238.530
1096.640 1096.640
1049.350 1049.350
 978.407  978.407
1232.620 1232.620
1185.320 1185.320
1078.910 1078.910
1055.260 1055.260
1019.790 1019.790
1214.880 1214.880
1191.230 1191.230
1167.590 1167.590
1084.820 1084.820
1073.000 1073.000
1232.620 1232.620
1161.670 1161.670
1262.180 1262.180
1250.350 1250.350
1179.410 1179.410
1025.700 1025.700
1268.090 1268.090
1244.440 1244.440
1173.500 1173.500
1132.110 1132.110
1120.290 1120.290
1019.790 1019.790
 996.143  996.143
1037.530 1037.530
1002.050 1002.050
1173.500 1173.500
1610.970 1610.970
1173.500 1173.500
1220.790 1220.790
1073.000 1073.000
1049.350 1049.350
1138.030 1138.030
1114.380 1114.380
1055.260 1055.260
1735.120 1735.120
1274.000 1274.000
1250.350 1250.350
 741.934  741.934
1061.170 1061.170
1291.730 1291.730
1214.880 1214.880
1120.290 1120.290
1090.730 1090.730
1203.060 1203.060
1208.970 1208.970
1114.380 1114.380
1226.700 1226.700
1143.940 1143.940
1291.730 1291.730
1268.090 1268.090
1309.470 1309.470
1002.050 1002.050
 978.407  978.407
1090.730 1090.730
1569.590 1569.590
1522.300 1522.300
1155.760 1155.760
 576.403  576.403
 529.108  529.108
1185.320 1185.320
1090.730 1090.730
1729.210 1729.210
 736.022  736.022
2054.360 2054.360
1167.590 1167.590
1185.320 1185.320
 310.371  310.371
1185.320 1185.320
 611.874  611.874
 617.786  617.786
 540.932  540.932
 605.962  605.962
 582.315  582.315
1149.850 1149.850
 759.670  759.670
 582.315  582.315
1031.610 1031.610
 540.932  540.932
1268.090 1268.090
2054.360 2054.360
1167.590 1167.590
1279.910 1279.910
1185.320 1185.320
1173.500 1173.500
1664.180 1664.180
1179.410 1179.410
1327.200 1327.200
1232.620 1232.620
1090.730 1090.730
 984.319  984.319
1179.410 1179.410
1167.590 1167.590
1084.820 1084.820
1061.170 1061.170
1232.620 1232.620
1262.180 1262.180
1155.760 1155.760
1132.110 1132.110
1049.350 1049.350
1220.790 1220.790
1138.030 1138.030
1019.790 1019.790
1203.060 1203.060
1149.850 1149.850
1114.380 1114.380
1309.470 1309.470
1143.940 1143.940
1049.350 1049.350
1208.970 1208.970
1185.320 1185.320
1126.200 1126.200
1102.560 1102.560
1090.730 1090.730
1067.080 1067.080
1037.530 1037.530
1043.440 1043.440
1031.610 1031.610
1291.730 1291.730
1232.620 1232.620
 310.371  310.371
1229.660 1229.660
1099.600 1099.600
1206.010 1206.010
 981.363  981.363
1146.900 1146.900
1028.660 1028.660
1075.950 1075.950
 981.363  981.363
2057.320 2057.320
 981.363  981.363
 981.363  981.363
 307.415  307.415
1164.630 1164.630
1070.040 1070.040
1052.310 1052.310
1732.170 1732.170
1271.040 1271.040
1247.400 1247.400
1022.750 1022.750
 738.978  738.978
1046.390 1046.390
1247.400 1247.400
1164.630 1164.630
1117.330 1117.330
1070.040 1070.040
1099.600 1099.600
1093.690 1093.690
1046.390 1046.390
1223.750 1223.750
1117.330 1117.330
 999.099  999.099
1294.690 1294.690
1271.040 1271.040
1188.280 1188.280
 999.099  999.099
1294.690 1294.690
1566.640 1566.640
1519.340 1519.340
1093.690 1093.690
 573.447  573.447
 526.152  526.152
1726.250 1726.250
 733.066  733.066
1188.280 1188.280
1164.630 1164.630
 307.415  307.415
 608.918  608.918
1028.660 1028.660
 620.742  620.742
 597.094  597.094
 537.976  537.976
 608.918  608.918
1152.810 1152.810
 762.626  762.626
 750.802  750.802
1271.040 1271.040
1282.870 1282.870
1034.570 1034.570
 656.213  656.213
2057.320 2057.320
1188.280 1188.280
1170.540 1170.540
1661.220 1661.220
1182.370 1182.370
1613.930 1613.930
1164.630 1164.630
1093.690 1093.690
1081.860 1081.860
1034.570 1034.570
1229.660 1229.660
1271.040 1271.040
1259.220 1259.220
1129.160 1129.160
1105.510 1105.510
1034.570 1034.570
1217.840 1217.840
1052.310 1052.310
1235.570 1235.570
1188.280 1188.280
1093.690 1093.690
1022.750 1022.750
1206.010 1206.010
1075.950 1075.950
1052.310 1052.310
